"","route","count"
"1","110000->221100",1
"2","110000->230270",1
"3","110000->230440",16
"4","110000->240810",3
"5","110000->260410",1
"6","110000->261160",2
"7","110000->270430",2
"8","110000->292530",1
"9","110000->310110",1
"10","110000->310620",2
"11","110000->311340",1
"12","110000->313115",1
"13","110000->313420",1
"14","110000->313670",1
"15","110000->313960",1
"16","110000->314800",1
"17","110000->315800",1
"18","110000->317020",1
"19","110000->320150",1
"20","110000->320313",1
"21","110000->320320",2
"22","110000->320330",1
"23","110000->320335",1
"24","110000->320490",5
"25","110000->320500",2
"26","110000->320515",1
"27","110000->320520",1
"28","110000->320530",4
"29","110000->330010",1
"30","110000->350280",1
"31","110000->350950",2
"32","110000->352900",4
"33","110000->352940",1
"34","110000->353050",1
"35","110000->354120",1
"36","110000->354140",5
"37","110000->354340",12
"38","110000->354780",1
"39","110000->354850",1
"40","110000->354870",1
"41","110000->354980",2
"42","110000->354990",2
"43","110000->355030",34
"44","110000->355220",5
"45","110000->355410",2
"46","110000->355670",1
"47","110000->410180",1
"48","110000->410690",6
"49","110000->410720",1
"50","110000->410830",2
"51","110000->410840",1
"52","110000->410880",1
"53","110000->411370",2
"54","110000->411520",4
"55","110000->411560",1
"56","110000->412140",1
"57","110000->412710",2
"58","110000->420540",2
"59","110000->431020",1
"60","110000->431410",1
"61","110000->431760",1
"62","110000->432240",1
"63","110000->500270",4
"64","110000->500570",1
"65","110000->520450",1
"66","110000->520870",46
"67","110000->521310",1
"68","110000->521760",1
"69","110000->530010",4
"70","110001->130014",1
"71","110001->130260",2
"72","110001->130330",3
"73","110001->150040",1
"74","110001->170300",1
"75","110001->210860",1
"76","110001->211000",2
"77","110001->211070",1
"78","110001->231240",1
"79","110001->314800",1
"80","110001->320490",2
"81","110001->320500",2
"82","110001->320530",1
"83","110001->330455",3
"84","110001->354340",1
"85","110001->355030",2
"86","110001->410180",1
"87","110001->410690",1
"88","110001->412580",1
"89","110001->420140",1
"90","110001->430590",1
"91","110001->431020",1
"92","110001->510268",1
"93","110001->510325",2
"94","110001->510330",1
"95","110001->510340",2
"96","110001->510787",1
"97","110002->120010",7
"98","110002->120013",2
"99","110002->120020",1
"100","110002->120025",1
"101","110002->120040",19
"102","110002->120042",1
"103","110002->120045",3
"104","110002->120050",20
"105","110002->120070",3
"106","110002->130014",9
"107","110002->130070",2
"108","110002->130090",1
"109","110002->130120",1
"110","110002->130170",45
"111","110002->130200",1
"112","110002->130240",1
"113","110002->130260",21
"114","110002->130270",6
"115","110002->130330",15
"116","110002->130340",1
"117","110002->140010",2
"118","110002->140045",1
"119","110002->140060",1
"120","110002->150050",1
"121","110002->150080",1
"122","110002->150215",1
"123","110002->150275",1
"124","110002->150345",1
"125","110002->150360",4
"126","110002->150380",1
"127","110002->150442",1
"128","110002->150480",1
"129","110002->150503",1
"130","110002->150680",5
"131","110002->150730",6
"132","110002->150810",1
"133","110002->170210",1
"134","110002->170220",1
"135","110002->172100",7
"136","110002->210005",1
"137","110002->210095",2
"138","110002->210160",1
"139","110002->210232",1
"140","110002->210400",1
"141","110002->210440",1
"142","110002->210460",1
"143","110002->210520",1
"144","110002->210570",1
"145","110002->210635",2
"146","110002->210810",1
"147","110002->210820",3
"148","110002->210860",2
"149","110002->211090",1
"150","110002->211300",1
"151","110002->220580",2
"152","110002->220830",1
"153","110002->230380",2
"154","110002->230440",4
"155","110002->231360",1
"156","110002->270430",1
"157","110002->280030",1
"158","110002->280700",1
"159","110002->290225",1
"160","110002->290520",1
"161","110002->290560",2
"162","110002->291072",1
"163","110002->291080",3
"164","110002->291465",2
"165","110002->292090",1
"166","110002->292530",5
"167","110002->292740",1
"168","110002->310350",2
"169","110002->310620",31
"170","110002->310670",1
"171","110002->311340",1
"172","110002->311830",1
"173","110002->311840",2
"174","110002->311860",2
"175","110002->312230",3
"176","110002->312710",2
"177","110002->312770",6
"178","110002->313130",1
"179","110002->313270",1
"180","110002->313440",2
"181","110002->313670",1
"182","110002->313720",2
"183","110002->313820",1
"184","110002->313920",1
"185","110002->313960",3
"186","110002->314480",1
"187","110002->314530",1
"188","110002->314630",8
"189","110002->314700",1
"190","110002->314800",3
"191","110002->315150",1
"192","110002->315610",1
"193","110002->316110",1
"194","110002->316250",3
"195","110002->316470",1
"196","110002->316860",3
"197","110002->317010",3
"198","110002->317020",7
"199","110002->320016",2
"200","110002->320090",5
"201","110002->320130",4
"202","110002->320150",3
"203","110002->320210",1
"204","110002->320225",1
"205","110002->320240",1
"206","110002->320245",2
"207","110002->320320",3
"208","110002->320334",1
"209","110002->320400",1
"210","110002->320430",1
"211","110002->320470",1
"212","110002->320490",15
"213","110002->320500",11
"214","110002->320510",1
"215","110002->320515",1
"216","110002->320517",1
"217","110002->320520",2
"218","110002->320530",1
"219","110002->330030",1
"220","110002->330170",1
"221","110002->330200",1
"222","110002->330240",1
"223","110002->330455",2
"224","110002->330630",1
"225","110002->350210",1
"226","110002->350280",2
"227","110002->350600",1
"228","110002->350950",20
"229","110002->351110",2
"230","110002->351890",1
"231","110002->352320",1
"232","110002->352900",4
"233","110002->353060",3
"234","110002->353980",1
"235","110002->354140",3
"236","110002->354340",7
"237","110002->354520",1
"238","110002->354780",1
"239","110002->354980",5
"240","110002->355030",19
"241","110002->355220",3
"242","110002->355430",1
"243","110002->355490",2
"244","110002->410180",1
"245","110002->410200",2
"246","110002->410305",1
"247","110002->410345",1
"248","110002->410360",4
"249","110002->410420",1
"250","110002->410430",4
"251","110002->410470",1
"252","110002->410480",10
"253","110002->410510",1
"254","110002->410690",23
"255","110002->410830",13
"256","110002->410860",1
"257","110002->410880",2
"258","110002->410940",1
"259","110002->410980",1
"260","110002->411095",1
"261","110002->411160",1
"262","110002->411350",1
"263","110002->411370",4
"264","110002->411400",1
"265","110002->411410",1
"266","110002->411420",2
"267","110002->411435",1
"268","110002->411460",1
"269","110002->411500",1
"270","110002->411520",5
"271","110002->411580",1
"272","110002->411590",1
"273","110002->411605",1
"274","110002->411610",1
"275","110002->411780",1
"276","110002->411840",1
"277","110002->411850",3
"278","110002->412060",2
"279","110002->412140",1
"280","110002->412350",1
"281","110002->412405",1
"282","110002->412570",1
"283","110002->412625",3
"284","110002->412710",1
"285","110002->412740",1
"286","110002->412770",1
"287","110002->412810",4
"288","110002->420210",1
"289","110002->420280",2
"290","110002->420460",2
"291","110002->420540",1
"292","110002->420650",3
"293","110002->420820",1
"294","110002->420830",1
"295","110002->420890",3
"296","110002->420910",1
"297","110002->421010",1
"298","110002->421580",2
"299","110002->421720",5
"300","110002->421820",2
"301","110002->421870",2
"302","110002->430210",1
"303","110002->430510",1
"304","110002->430700",1
"305","110002->431410",1
"306","110002->431490",4
"307","110002->431690",1
"308","110002->432150",1
"309","110002->432240",1
"310","110002->432280",2
"311","110002->500240",1
"312","110002->500270",10
"313","110002->500290",1
"314","110002->500330",2
"315","110002->500345",1
"316","110002->500370",3
"317","110002->500380",1
"318","110002->500470",1
"319","110002->500570",1
"320","110002->500769",2
"321","110002->500830",1
"322","110002->510020",3
"323","110002->510025",2
"324","110002->510080",2
"325","110002->510125",1
"326","110002->510130",7
"327","110002->510140",5
"328","110002->510170",1
"329","110002->510250",4
"330","110002->510263",6
"331","110002->510267",1
"332","110002->510279",5
"333","110002->510325",83
"334","110002->510330",18
"335","110002->510337",1
"336","110002->510340",56
"337","110002->510410",1
"338","110002->510450",1
"339","110002->510480",2
"340","110002->510510",1
"341","110002->510515",98
"342","110002->510525",6
"343","110002->510560",2
"344","110002->510562",1
"345","110002->510600",2
"346","110002->510618",10
"347","110002->510623",2
"348","110002->510629",3
"349","110002->510642",6
"350","110002->510675",114
"351","110002->510704",3
"352","110002->510710",2
"353","110002->510730",3
"354","110002->510757",3
"355","110002->510760",9
"356","110002->510770",1
"357","110002->510787",23
"358","110002->510790",7
"359","110002->510792",1
"360","110002->510795",10
"361","110002->510805",3
"362","110002->520140",4
"363","110002->520150",1
"364","110002->520870",9
"365","110002->521010",1
"366","110002->521020",1
"367","110002->521090",1
"368","110002->521190",4
"369","110002->521308",1
"370","110002->521880",1
"371","110002->521930",1
"372","110002->522010",1
"373","110002->522150",1
"374","110002->522185",1
"375","110002->530010",9
"376","110003->130260",3
"377","110003->150815",1
"378","110003->210095",1
"379","110003->210530",1
"380","110003->210860",1
"381","110003->211102",1
"382","110003->211230",1
"383","110003->320520",1
"384","110003->420710",1
"385","110003->430050",1
"386","110003->510330",3
"387","110003->510340",3
"388","110003->510517",1
"389","110004->120040",2
"390","110004->120050",1
"391","110004->130110",2
"392","110004->130250",1
"393","110004->130260",2
"394","110004->130330",1
"395","110004->130356",1
"396","110004->140010",3
"397","110004->172120",1
"398","110004->210095",2
"399","110004->210160",1
"400","110004->210317",1
"401","110004->210740",1
"402","110004->210810",1
"403","110004->231400",1
"404","110004->231410",2
"405","110004->261160",1
"406","110004->291320",1
"407","110004->310400",2
"408","110004->310620",3
"409","110004->312770",1
"410","110004->313510",1
"411","110004->314800",2
"412","110004->314810",1
"413","110004->317130",1
"414","110004->320240",1
"415","110004->320490",7
"416","110004->320500",2
"417","110004->320515",1
"418","110004->350600",1
"419","110004->352590",1
"420","110004->352940",1
"421","110004->354340",1
"422","110004->354980",1
"423","110004->355030",1
"424","110004->410180",1
"425","110004->410400",1
"426","110004->410420",1
"427","110004->410430",1
"428","110004->410480",1
"429","110004->410690",2
"430","110004->410880",1
"431","110004->412730",1
"432","110004->412800",1
"433","110004->420140",1
"434","110004->420820",1
"435","110004->421755",1
"436","110004->421760",1
"437","110004->431190",1
"438","110004->431690",1
"439","110004->500270",2
"440","110004->500330",1
"441","110004->500620",1
"442","110004->500769",1
"443","110004->510050",2
"444","110004->510130",1
"445","110004->510250",3
"446","110004->510263",1
"447","110004->510267",1
"448","110004->510325",2
"449","110004->510330",2
"450","110004->510336",2
"451","110004->510340",6
"452","110004->510350",3
"453","110004->510410",2
"454","110004->510480",1
"455","110004->510515",77
"456","110004->510520",1
"457","110004->510525",3
"458","110004->510600",2
"459","110004->510622",1
"460","110004->510704",3
"461","110004->510730",1
"462","110004->510760",1
"463","110004->510787",9
"464","110004->510790",2
"465","110004->510792",1
"466","110004->510795",1
"467","110004->520870",3
"468","110004->530010",1
"469","110005->317010",1
"470","110005->350280",1
"471","110005->351380",1
"472","110005->410720",1
"473","110005->510330",1
"474","110005->510340",1
"475","110005->510500",1
"476","110005->521900",1
"477","110006->130170",2
"478","110006->130260",1
"479","110006->150210",1
"480","110006->510340",1
"481","110006->510515",2
"482","110007->320500",1
"483","110008->120001",1
"484","110008->120045",1
"485","110008->130170",4
"486","110008->130185",1
"487","110008->130260",1
"488","110008->317020",1
"489","110008->354980",1
"490","110008->410690",1
"491","110008->410830",1
"492","110008->411350",1
"493","110008->421720",1
"494","110008->500270",1
"495","110008->510140",1
"496","110008->510170",1
"497","110008->510340",2
"498","110008->510675",1
"499","110008->510795",1
"500","110008->530010",1
"501","110009->120038",1
"502","110009->130260",2
"503","110009->130330",2
"504","110009->150360",1
"505","110009->150745",1
"506","110009->310400",1
"507","110009->310620",5
"508","110009->317020",2
"509","110009->320290",1
"510","110009->320320",2
"511","110009->320490",4
"512","110009->350280",1
"513","110009->352710",1
"514","110009->354340",1
"515","110009->410830",3
"516","110009->420820",1
"517","110009->430370",1
"518","110009->431848",4
"519","110009->500270",1
"520","110009->500830",1
"521","110009->510025",3
"522","110009->510080",1
"523","110009->510130",5
"524","110009->510140",4
"525","110009->510180",1
"526","110009->510285",2
"527","110009->510325",4
"528","110009->510330",3
"529","110009->510337",2
"530","110009->510340",10
"531","110009->510410",1
"532","110009->510515",66
"533","110009->510520",3
"534","110009->510600",4
"535","110009->510615",1
"536","110009->510629",1
"537","110009->510675",3
"538","110009->510704",4
"539","110009->510760",3
"540","110009->510787",1
"541","110009->510790",2
"542","110009->510792",1
"543","110009->521190",1
"544","110009->530010",2
"545","110010->120001",2
"546","110010->120010",1
"547","110010->120025",2
"548","110010->120040",19
"549","110010->130014",1
"550","110010->130070",1
"551","110010->130170",12
"552","110010->130240",1
"553","110010->130260",7
"554","110010->130270",1
"555","110010->130340",1
"556","110010->130353",1
"557","110010->140010",1
"558","110010->150140",1
"559","110010->150293",1
"560","110010->150800",1
