"","route","count"
"1","110000->221100",1
"2","110000->230270",1
"3","110000->230440",16
"4","110000->240810",3
"5","110000->260410",1
"6","110000->261160",2
"7","110000->270430",2
"8","110000->292530",1
"9","110000->310110",1
"10","110000->310620",2
"11","110000->311340",1
"12","110000->313115",1
"13","110000->313420",1
"14","110000->313670",1
"15","110000->313960",1
"16","110000->314800",1
"17","110000->315800",1
"18","110000->317020",1
"19","110000->320150",1
"20","110000->320313",1
"21","110000->320320",2
"22","110000->320330",1
"23","110000->320335",1
"24","110000->320490",5
"25","110000->320500",2
"26","110000->320515",1
"27","110000->320520",1
"28","110000->320530",4
"29","110000->330010",1
"30","110000->350280",1
"31","110000->350950",2
"32","110000->352900",4
"33","110000->352940",1
"34","110000->353050",1
"35","110000->354120",1
"36","110000->354140",5
"37","110000->354340",12
"38","110000->354780",1
"39","110000->354850",1
"40","110000->354870",1
"41","110000->354980",2
"42","110000->354990",2
"43","110000->355030",34
"44","110000->355220",5
"45","110000->355410",2
"46","110000->355670",1
"47","110000->410180",1
"48","110000->410690",6
"49","110000->410720",1
"50","110000->410830",2
"51","110000->410840",1
"52","110000->410880",1
"53","110000->411370",2
"54","110000->411520",4
"55","110000->411560",1
"56","110000->412140",1
"57","110000->412710",2
"58","110000->420540",2
"59","110000->431020",1
"60","110000->431410",1
"61","110000->431760",1
"62","110000->432240",1
"63","110000->500270",4
"64","110000->500570",1
"65","110000->520450",1
"66","110000->520870",46
"67","110000->521310",1
"68","110000->521760",1
"69","110000->530010",4
"70","110001->110002",3
"71","110001->110004",9
"72","110001->110005",1
"73","110001->110006",1
"74","110001->110007",1
"75","110001->110011",7
"76","110001->110012",9
"77","110001->110014",3
"78","110001->110018",6
"79","110001->110020",30
"80","110001->110028",73
"81","110001->110029",5
"82","110001->110030",6
"83","110001->110034",1
"84","110001->110037",15
"85","110001->110045",2
"86","110001->110050",10
"87","110001->110080",2
"88","110001->110090",1
"89","110001->110130",2
"90","110001->110146",4
"91","110001->110148",2
"92","110001->110150",1
"93","110001->130014",1
"94","110001->130260",2
"95","110001->130330",3
"96","110001->150040",1
"97","110001->170300",1
"98","110001->210860",1
"99","110001->211000",2
"100","110001->211070",1
"101","110001->231240",1
"102","110001->314800",1
"103","110001->320490",2
"104","110001->320500",2
"105","110001->320530",1
"106","110001->330455",3
"107","110001->354340",1
"108","110001->355030",2
"109","110001->410180",1
"110","110001->410690",1
"111","110001->412580",1
"112","110001->420140",1
"113","110001->430590",1
"114","110001->431020",1
"115","110001->510268",1
"116","110001->510325",2
"117","110001->510330",1
"118","110001->510340",2
"119","110001->510787",1
"120","110002->110001",14
"121","110002->110003",7
"122","110002->110004",134
"123","110002->110005",18
"124","110002->110006",2
"125","110002->110007",1
"126","110002->110008",4
"127","110002->110009",93
"128","110002->110010",19
"129","110002->110011",1291
"130","110002->110012",310
"131","110002->110013",114
"132","110002->110014",17
"133","110002->110015",218
"134","110002->110018",48
"135","110002->110020",840
"136","110002->110025",61
"137","110002->110026",246
"138","110002->110028",39
"139","110002->110029",4
"140","110002->110030",83
"141","110002->110032",6
"142","110002->110033",17
"143","110002->110034",23
"144","110002->110037",4
"145","110002->110040",586
"146","110002->110045",36
"147","110002->110050",7
"148","110002->110060",78
"149","110002->110070",32
"150","110002->110080",26
"151","110002->110092",2
"152","110002->110094",49
"153","110002->110100",40
"154","110002->110110",77
"155","110002->110120",3
"156","110002->110130",29
"157","110002->110140",469
"158","110002->110143",12
"159","110002->110149",11
"160","110002->110150",8
"161","110002->110155",9
"162","110002->110160",173
"163","110002->110170",7
"164","110002->110175",43
"165","110002->110180",27
"166","110002->120010",7
"167","110002->120013",2
"168","110002->120020",1
"169","110002->120025",1
"170","110002->120040",19
"171","110002->120042",1
"172","110002->120045",3
"173","110002->120050",20
"174","110002->120070",3
"175","110002->130014",9
"176","110002->130070",2
"177","110002->130090",1
"178","110002->130120",1
"179","110002->130170",45
"180","110002->130200",1
"181","110002->130240",1
"182","110002->130260",21
"183","110002->130270",6
"184","110002->130330",15
"185","110002->130340",1
"186","110002->140010",2
"187","110002->140045",1
"188","110002->140060",1
"189","110002->150050",1
"190","110002->150080",1
"191","110002->150215",1
"192","110002->150275",1
"193","110002->150345",1
"194","110002->150360",4
"195","110002->150380",1
"196","110002->150442",1
"197","110002->150480",1
"198","110002->150503",1
"199","110002->150680",5
"200","110002->150730",6
"201","110002->150810",1
"202","110002->170210",1
"203","110002->170220",1
"204","110002->172100",7
"205","110002->210005",1
"206","110002->210095",2
"207","110002->210160",1
"208","110002->210232",1
"209","110002->210400",1
"210","110002->210440",1
"211","110002->210460",1
"212","110002->210520",1
"213","110002->210570",1
"214","110002->210635",2
"215","110002->210810",1
"216","110002->210820",3
"217","110002->210860",2
"218","110002->211090",1
"219","110002->211300",1
"220","110002->220580",2
"221","110002->220830",1
"222","110002->230380",2
"223","110002->230440",4
"224","110002->231360",1
"225","110002->270430",1
"226","110002->280030",1
"227","110002->280700",1
"228","110002->290225",1
"229","110002->290520",1
"230","110002->290560",2
"231","110002->291072",1
"232","110002->291080",3
"233","110002->291465",2
"234","110002->292090",1
"235","110002->292530",5
"236","110002->292740",1
"237","110002->310350",2
"238","110002->310620",31
"239","110002->310670",1
"240","110002->311340",1
"241","110002->311830",1
"242","110002->311840",2
"243","110002->311860",2
"244","110002->312230",3
"245","110002->312710",2
"246","110002->312770",6
"247","110002->313130",1
"248","110002->313270",1
"249","110002->313440",2
"250","110002->313670",1
"251","110002->313720",2
"252","110002->313820",1
"253","110002->313920",1
"254","110002->313960",3
"255","110002->314480",1
"256","110002->314530",1
"257","110002->314630",8
"258","110002->314700",1
"259","110002->314800",3
"260","110002->315150",1
"261","110002->315610",1
"262","110002->316110",1
"263","110002->316250",3
"264","110002->316470",1
"265","110002->316860",3
"266","110002->317010",3
"267","110002->317020",7
"268","110002->320016",2
"269","110002->320090",5
"270","110002->320130",4
"271","110002->320150",3
"272","110002->320210",1
"273","110002->320225",1
"274","110002->320240",1
"275","110002->320245",2
"276","110002->320320",3
"277","110002->320334",1
"278","110002->320400",1
"279","110002->320430",1
"280","110002->320470",1
"281","110002->320490",15
"282","110002->320500",11
"283","110002->320510",1
"284","110002->320515",1
"285","110002->320517",1
"286","110002->320520",2
"287","110002->320530",1
"288","110002->330030",1
"289","110002->330170",1
"290","110002->330200",1
"291","110002->330240",1
"292","110002->330455",2
"293","110002->330630",1
"294","110002->350210",1
"295","110002->350280",2
"296","110002->350600",1
"297","110002->350950",20
"298","110002->351110",2
"299","110002->351890",1
"300","110002->352320",1
"301","110002->352900",4
"302","110002->353060",3
"303","110002->353980",1
"304","110002->354140",3
"305","110002->354340",7
"306","110002->354520",1
"307","110002->354780",1
"308","110002->354980",5
"309","110002->355030",19
"310","110002->355220",3
"311","110002->355430",1
"312","110002->355490",2
"313","110002->410180",1
"314","110002->410200",2
"315","110002->410305",1
"316","110002->410345",1
"317","110002->410360",4
"318","110002->410420",1
"319","110002->410430",4
"320","110002->410470",1
"321","110002->410480",10
"322","110002->410510",1
"323","110002->410690",23
"324","110002->410830",13
"325","110002->410860",1
"326","110002->410880",2
"327","110002->410940",1
"328","110002->410980",1
"329","110002->411095",1
"330","110002->411160",1
"331","110002->411350",1
"332","110002->411370",4
"333","110002->411400",1
"334","110002->411410",1
"335","110002->411420",2
"336","110002->411435",1
"337","110002->411460",1
"338","110002->411500",1
"339","110002->411520",5
"340","110002->411580",1
"341","110002->411590",1
"342","110002->411605",1
"343","110002->411610",1
"344","110002->411780",1
"345","110002->411840",1
"346","110002->411850",3
"347","110002->412060",2
"348","110002->412140",1
"349","110002->412350",1
"350","110002->412405",1
"351","110002->412570",1
"352","110002->412625",3
"353","110002->412710",1
"354","110002->412740",1
"355","110002->412770",1
"356","110002->412810",4
"357","110002->420210",1
"358","110002->420280",2
"359","110002->420460",2
"360","110002->420540",1
"361","110002->420650",3
"362","110002->420820",1
"363","110002->420830",1
"364","110002->420890",3
"365","110002->420910",1
"366","110002->421010",1
"367","110002->421580",2
"368","110002->421720",5
"369","110002->421820",2
"370","110002->421870",2
"371","110002->430210",1
"372","110002->430510",1
"373","110002->430700",1
"374","110002->431410",1
"375","110002->431490",4
"376","110002->431690",1
"377","110002->432150",1
"378","110002->432240",1
"379","110002->432280",2
"380","110002->500240",1
"381","110002->500270",10
"382","110002->500290",1
"383","110002->500330",2
"384","110002->500345",1
"385","110002->500370",3
"386","110002->500380",1
"387","110002->500470",1
"388","110002->500570",1
"389","110002->500769",2
"390","110002->500830",1
"391","110002->510020",3
"392","110002->510025",2
"393","110002->510080",2
"394","110002->510125",1
"395","110002->510130",7
"396","110002->510140",5
"397","110002->510170",1
"398","110002->510250",4
"399","110002->510263",6
"400","110002->510267",1
"401","110002->510279",5
"402","110002->510325",83
"403","110002->510330",18
"404","110002->510337",1
"405","110002->510340",56
"406","110002->510410",1
"407","110002->510450",1
"408","110002->510480",2
"409","110002->510510",1
"410","110002->510515",98
"411","110002->510525",6
"412","110002->510560",2
"413","110002->510562",1
"414","110002->510600",2
"415","110002->510618",10
"416","110002->510623",2
"417","110002->510629",3
"418","110002->510642",6
"419","110002->510675",114
"420","110002->510704",3
"421","110002->510710",2
"422","110002->510730",3
"423","110002->510757",3
"424","110002->510760",9
"425","110002->510770",1
"426","110002->510787",23
"427","110002->510790",7
"428","110002->510792",1
"429","110002->510795",10
"430","110002->510805",3
"431","110002->520140",4
"432","110002->520150",1
"433","110002->520870",9
"434","110002->521010",1
"435","110002->521020",1
"436","110002->521090",1
"437","110002->521190",4
"438","110002->521308",1
"439","110002->521880",1
"440","110002->521930",1
"441","110002->522010",1
"442","110002->522150",1
"443","110002->522185",1
"444","110002->530010",9
"445","110003->110005",14
"446","110003->110006",11
"447","110003->110011",3
"448","110003->110018",1
"449","110003->110020",3
"450","110003->110030",9
"451","110003->110140",1
"452","110003->110148",1
"453","110003->130260",3
"454","110003->150815",1
"455","110003->210095",1
"456","110003->210530",1
"457","110003->210860",1
"458","110003->211102",1
"459","110003->211230",1
"460","110003->320520",1
"461","110003->420710",1
"462","110003->430050",1
"463","110003->510330",3
"464","110003->510340",3
"465","110003->510517",1
"466","110004->110001",1
"467","110004->110002",11
"468","110004->110005",2
"469","110004->110008",4
"470","110004->110009",7
"471","110004->110010",1
"472","110004->110011",3
"473","110004->110012",1
"474","110004->110013",3
"475","110004->110014",1
"476","110004->110015",1
"477","110004->110018",1
"478","110004->110020",63
"479","110004->110028",2
"480","110004->110030",2
"481","110004->110033",2
"482","110004->110040",1
"483","110004->110045",1
"484","110004->110050",1
"485","110004->110070",1
"486","110004->110080",4
"487","110004->110094",1
"488","110004->110110",1
"489","110004->110120",2
"490","110004->110140",3
"491","110004->110149",2
"492","110004->110150",1
"493","110004->110175",1
"494","110004->110180",1
"495","110004->120040",2
"496","110004->120050",1
"497","110004->130110",2
"498","110004->130250",1
"499","110004->130260",2
"500","110004->130330",1
"501","110004->130356",1
"502","110004->140010",3
"503","110004->172120",1
"504","110004->210095",2
"505","110004->210160",1
"506","110004->210317",1
"507","110004->210740",1
"508","110004->210810",1
"509","110004->231400",1
"510","110004->231410",2
"511","110004->261160",1
"512","110004->291320",1
"513","110004->310400",2
"514","110004->310620",3
"515","110004->312770",1
"516","110004->313510",1
"517","110004->314800",2
"518","110004->314810",1
"519","110004->317130",1
"520","110004->320240",1
"521","110004->320490",7
"522","110004->320500",2
"523","110004->320515",1
"524","110004->350600",1
"525","110004->352590",1
"526","110004->352940",1
"527","110004->354340",1
"528","110004->354980",1
"529","110004->355030",1
"530","110004->410180",1
"531","110004->410400",1
"532","110004->410420",1
"533","110004->410430",1
"534","110004->410480",1
"535","110004->410690",2
"536","110004->410880",1
"537","110004->412730",1
"538","110004->412800",1
"539","110004->420140",1
"540","110004->420820",1
"541","110004->421755",1
"542","110004->421760",1
"543","110004->431190",1
"544","110004->431690",1
"545","110004->500270",2
"546","110004->500330",1
"547","110004->500620",1
"548","110004->500769",1
"549","110004->510050",2
"550","110004->510130",1
"551","110004->510250",3
"552","110004->510263",1
"553","110004->510267",1
"554","110004->510325",2
"555","110004->510330",2
"556","110004->510336",2
"557","110004->510340",6
"558","110004->510350",3
"559","110004->510410",2
