"","route","count"
"1","110001->110002",3
"2","110001->110004",9
"3","110001->110005",1
"4","110001->110006",1
"5","110001->110007",1
"6","110001->110011",7
"7","110001->110012",9
"8","110001->110014",3
"9","110001->110018",6
"10","110001->110020",30
"11","110001->110028",73
"12","110001->110029",5
"13","110001->110030",6
"14","110001->110034",1
"15","110001->110037",15
"16","110001->110045",2
"17","110001->110050",10
"18","110001->110080",2
"19","110001->110090",1
"20","110001->110130",2
"21","110001->110146",4
"22","110001->110148",2
"23","110001->110150",1
"24","110002->110001",14
"25","110002->110003",7
"26","110002->110004",134
"27","110002->110005",18
"28","110002->110006",2
"29","110002->110007",1
"30","110002->110008",4
"31","110002->110009",93
"32","110002->110010",19
"33","110002->110011",1291
"34","110002->110012",310
"35","110002->110013",114
"36","110002->110014",17
"37","110002->110015",218
"38","110002->110018",48
"39","110002->110020",840
"40","110002->110025",61
"41","110002->110026",246
"42","110002->110028",39
"43","110002->110029",4
"44","110002->110030",83
"45","110002->110032",6
"46","110002->110033",17
"47","110002->110034",23
"48","110002->110037",4
"49","110002->110040",586
"50","110002->110045",36
"51","110002->110050",7
"52","110002->110060",78
"53","110002->110070",32
"54","110002->110080",26
"55","110002->110092",2
"56","110002->110094",49
"57","110002->110100",40
"58","110002->110110",77
"59","110002->110120",3
"60","110002->110130",29
"61","110002->110140",469
"62","110002->110143",12
"63","110002->110149",11
"64","110002->110150",8
"65","110002->110155",9
"66","110002->110160",173
"67","110002->110170",7
"68","110002->110175",43
"69","110002->110180",27
"70","110003->110005",14
"71","110003->110006",11
"72","110003->110011",3
"73","110003->110018",1
"74","110003->110020",3
"75","110003->110030",9
"76","110003->110140",1
"77","110003->110148",1
"78","110004->110001",1
"79","110004->110002",11
"80","110004->110005",2
"81","110004->110008",4
"82","110004->110009",7
"83","110004->110010",1
"84","110004->110011",3
"85","110004->110012",1
"86","110004->110013",3
"87","110004->110014",1
"88","110004->110015",1
"89","110004->110018",1
"90","110004->110020",63
"91","110004->110028",2
"92","110004->110030",2
"93","110004->110033",2
"94","110004->110040",1
"95","110004->110045",1
"96","110004->110050",1
"97","110004->110070",1
"98","110004->110080",4
"99","110004->110094",1
"100","110004->110110",1
"101","110004->110120",2
"102","110004->110140",3
"103","110004->110149",2
"104","110004->110150",1
"105","110004->110175",1
"106","110004->110180",1
"107","110005->110002",1
"108","110005->110009",1
"109","110005->110010",1
"110","110005->110020",5
"111","110005->110028",1
"112","110005->110030",5
"113","110005->110040",1
"114","110005->110045",1
"115","110005->110146",2
"116","110006->110005",1
"117","110006->110013",1
"118","110006->110020",6
"119","110006->110028",1
"120","110006->110030",4
"121","110006->110040",1
"122","110006->110090",1
"123","110006->110140",1
"124","110006->110149",1
"125","110007->110004",2
"126","110007->110005",74
"127","110007->110006",7
"128","110007->110012",1
"129","110007->110018",1
"130","110007->110020",3
"131","110007->110028",1
"132","110007->110029",3
"133","110007->110030",10
"134","110008->110001",8
"135","110008->110002",3
"136","110008->110003",1
"137","110008->110004",30
"138","110008->110005",2
"139","110008->110006",3
"140","110008->110007",1
"141","110008->110009",2
"142","110008->110010",45
"143","110008->110011",5
"144","110008->110012",42
"145","110008->110013",1
"146","110008->110014",4
"147","110008->110015",2
"148","110008->110018",5
"149","110008->110020",48
"150","110008->110025",19
"151","110008->110028",41
"152","110008->110029",11
"153","110008->110030",11
"154","110008->110032",31
"155","110008->110033",2
"156","110008->110034",58
"157","110008->110037",2
"158","110008->110050",12
"159","110008->110080",3
"160","110008->110090",2
"161","110008->110094",1
"162","110008->110120",3
"163","110008->110140",1
"164","110008->110143",1
"165","110008->110149",175
"166","110008->110150",7
"167","110008->110170",2
"168","110008->110175",1
"169","110009->110001",1
"170","110009->110002",17
"171","110009->110004",3495
"172","110009->110005",2
"173","110009->110010",3
"174","110009->110011",6
"175","110009->110012",44
"176","110009->110013",3
"177","110009->110015",4
"178","110009->110018",108
"179","110009->110020",39
"180","110009->110025",10
"181","110009->110026",2
"182","110009->110028",22
"183","110009->110029",2
"184","110009->110030",42
"185","110009->110032",5
"186","110009->110033",1
"187","110009->110034",1
"188","110009->110037",7
"189","110009->110040",1
"190","110009->110045",6
"191","110009->110050",2
"192","110009->110070",4
"193","110009->110092",3
"194","110009->110094",1
"195","110009->110110",1
"196","110009->110130",1
"197","110009->110143",14
"198","110009->110145",5
"199","110009->110146",1
"200","110009->110150",2
"201","110009->110160",2
"202","110010->110001",5
"203","110010->110002",26
"204","110010->110004",17
"205","110010->110005",2
"206","110010->110006",2
"207","110010->110007",3
"208","110010->110008",246
"209","110010->110009",15
"210","110010->110011",16
"211","110010->110012",25
"212","110010->110013",2
"213","110010->110014",1
"214","110010->110015",18
"215","110010->110018",1
"216","110010->110020",646
"217","110010->110025",4
"218","110010->110028",2
"219","110010->110030",19
"220","110010->110032",3
"221","110010->110033",522
"222","110010->110034",9
"223","110010->110037",1
"224","110010->110040",3
"225","110010->110045",5
"226","110010->110050",1
"227","110010->110060",5
"228","110010->110070",4
"229","110010->110080",7
"230","110010->110090",1
"231","110010->110094",3
"232","110010->110100",1
"233","110010->110110",4
"234","110010->110130",1
"235","110010->110140",3
"236","110010->110143",1
"237","110010->110146",3
"238","110010->110149",3
"239","110010->110150",3
"240","110010->110155",23
"241","110010->110160",3
"242","110010->110170",7
"243","110010->110180",8
"244","110011->110001",2
