"","year","CLUSTER","mun","year_grp","months","RADIUS"
"1",2004,1,"130090",1,5,0
"2",2004,2,"510325",1,5,0
"3",2004,3,"130240",1,5,0
"4",2004,4,"150495",1,5,106.4108158082
"5",2004,4,"150307",1,5,106.4108158082
"6",2004,4,"150230",1,5,106.4108158082
"7",2004,4,"150195",1,5,106.4108158082
"8",2004,4,"150405",1,5,106.4108158082
"9",2004,4,"150655",1,5,106.4108158082
"10",2004,4,"150350",1,5,106.4108158082
"11",2004,4,"210317",1,5,106.4108158082
"12",2004,4,"210315",1,5,106.4108158082
"13",2004,4,"150095",1,5,106.4108158082
"14",2004,4,"210565",1,5,106.4108158082
"15",2004,4,"150540",1,5,106.4108158082
"16",2004,4,"210637",1,5,106.4108158082
"17",2004,4,"210197",1,5,106.4108158082
"18",2004,5,"130165",1,5,0
"19",2004,6,"110013",1,5,0
"20",2004,7,"120050",1,5,266.8406062714
"21",2004,7,"120034",1,5,266.8406062714
"22",2004,7,"120010",1,5,266.8406062714
"23",2004,7,"120040",1,5,266.8406062714
"24",2004,7,"120043",1,5,266.8406062714
"25",2004,7,"120070",1,5,266.8406062714
"26",2004,7,"120005",1,5,266.8406062714
"27",2004,7,"120013",1,5,266.8406062714
"28",2004,7,"120025",1,5,266.8406062714
"29",2004,7,"120030",1,5,266.8406062714
"30",2004,7,"130070",1,5,266.8406062714
"31",2004,7,"120080",1,5,266.8406062714
"32",2004,7,"120017",1,5,266.8406062714
"33",2004,7,"120045",1,5,266.8406062714
"34",2004,7,"120038",1,5,266.8406062714
"35",2004,7,"130150",1,5,266.8406062714
"36",2004,7,"130350",1,5,266.8406062714
"37",2004,7,"120001",1,5,266.8406062714
"38",2004,8,"130320",1,1,0
"39",2005,1,"130090",1,5,0
"40",2005,10,"150250",1,2,0
"41",2005,2,"130165",1,1,0
"42",2005,3,"510140",1,5,129.9979204555
"43",2005,3,"510325",1,5,129.9979204555
"44",2005,3,"510757",1,5,129.9979204555
"45",2005,4,"120020",1,1,0
"46",2005,5,"130240",1,5,0
"47",2005,6,"110013",1,4,0
"48",2005,7,"150050",1,5,111.5233172172
"49",2005,7,"160027",1,5,111.5233172172
"50",2005,8,"210197",1,1,0
"51",2005,9,"130320",1,2,0
"52",2006,1,"130165",1,5,0
"53",2006,2,"130090",1,5,0
"54",2006,3,"510757",1,5,0
"55",2006,4,"130240",1,5,0
"56",2006,5,"130014",1,5,195.4125198068
"57",2006,5,"130330",1,5,195.4125198068
"58",2006,5,"510325",1,5,195.4125198068
"59",2006,6,"110013",1,4,0
"60",2006,7,"150195",1,5,38.6750023777
"61",2006,7,"210565",1,5,38.6750023777
"62",2006,7,"210197",1,5,38.6750023777
"63",2006,8,"130320",1,1,0
"64",2007,1,"130090",1,5,0
"65",2007,2,"130165",1,5,0
"66",2007,3,"510757",1,5,0
"67",2007,4,"130014",1,5,195.4125198068
"68",2007,4,"130330",1,5,195.4125198068
"69",2007,4,"510325",1,5,195.4125198068
"70",2007,5,"130240",1,3,0
"71",2007,6,"110013",1,2,0
"72",2007,7,"130300",1,2,60.2826587719
"73",2007,7,"150300",1,2,60.2826587719
"74",2007,8,"120060",1,5,117.7295854028
"75",2007,8,"120030",1,5,117.7295854028
"76",2007,8,"130180",1,5,117.7295854028
"77",2007,9,"150195",1,1,38.6750023777
"78",2007,9,"210565",1,1,38.6750023777
"79",2007,9,"210197",1,1,38.6750023777
"80",2008,1,"130165",1,5,0
"81",2008,10,"110012",1,1,81.6616645281
"82",2008,10,"110180",1,1,81.6616645281
"83",2008,10,"110015",1,1,81.6616645281
"84",2008,10,"110160",1,1,81.6616645281
"85",2008,10,"110155",1,1,81.6616645281
"86",2008,10,"110025",1,1,81.6616645281
"87",2008,10,"110120",1,1,81.6616645281
"88",2008,10,"510757",1,1,81.6616645281
"89",2008,11,"150050",1,1,111.5233172172
"90",2008,11,"160027",1,1,111.5233172172
"91",2008,12,"130290",1,4,0
"92",2008,2,"130090",1,5,0
"93",2008,3,"120060",1,5,117.7295854028
"94",2008,3,"120030",1,5,117.7295854028
"95",2008,3,"130180",1,5,117.7295854028
"96",2008,4,"510325",1,5,0
"97",2008,5,"130270",1,5,152.2653997363
"98",2008,5,"130330",1,5,152.2653997363
"99",2008,5,"130170",1,5,152.2653997363
"100",2008,6,"120020",1,5,0
"101",2008,7,"130240",1,5,0
"102",2008,8,"130300",1,5,60.2826587719
"103",2008,8,"150300",1,5,60.2826587719
"104",2008,9,"210315",1,1,85.0184397173
"105",2008,9,"210637",1,1,85.0184397173
"106",2008,9,"210923",1,1,85.0184397173
"107",2008,9,"211003",1,1,85.0184397173
"108",2008,9,"210632",1,1,85.0184397173
"109",2008,9,"210467",1,1,85.0184397173
"110",2008,9,"210735",1,1,85.0184397173
"111",2008,9,"210565",1,1,85.0184397173
"112",2008,9,"150195",1,1,85.0184397173
"113",2008,9,"210197",1,1,85.0184397173
"114",2008,9,"210087",1,1,85.0184397173
"115",2008,9,"211245",1,1,85.0184397173
"116",2008,9,"210980",1,1,85.0184397173
"117",2008,9,"210317",1,1,85.0184397173
"118",2009,1,"130180",1,5,157.9386808445
"119",2009,1,"120060",1,5,157.9386808445
"120",2009,1,"130140",1,5,157.9386808445
"121",2009,1,"130150",1,5,157.9386808445
"122",2009,1,"130165",1,5,157.9386808445
"123",2009,10,"150050",1,5,111.5233172172
"124",2009,10,"160027",1,5,111.5233172172
"125",2009,11,"130290",1,5,0
"126",2009,12,"150030",1,5,0
"127",2009,13,"150503",1,1,198.3827455611
"128",2009,13,"510626",1,1,198.3827455611
"129",2009,13,"150375",1,1,198.3827455611
"130",2009,14,"522050",1,1,981.0475888858
"131",2009,14,"520547",1,1,981.0475888858
"132",2009,14,"521190",1,1,981.0475888858
"133",2009,14,"520150",1,1,981.0475888858
"134",2009,14,"521645",1,1,981.0475888858
"135",2009,14,"521310",1,1,981.0475888858
"136",2009,14,"500290",1,1,981.0475888858
"137",2009,14,"500295",1,1,981.0475888858
"138",2009,14,"520145",1,1,981.0475888858
"139",2009,14,"500325",1,1,981.0475888858
"140",2009,14,"521810",1,1,981.0475888858
"141",2009,14,"521130",1,1,981.0475888858
"142",2009,14,"510060",1,1,981.0475888858
"143",2009,14,"520430",1,1,981.0475888858
"144",2009,14,"520410",1,1,981.0475888858
"145",2009,14,"521880",1,1,981.0475888858
"146",2009,14,"521080",1,1,981.0475888858
"147",2009,14,"520440",1,1,981.0475888858
"148",2009,14,"521940",1,1,981.0475888858
"149",2009,14,"521225",1,1,981.0475888858
"150",2009,14,"500627",1,1,981.0475888858
"151",2009,14,"521375",1,1,981.0475888858
"152",2009,14,"510030",1,1,981.0475888858
"153",2009,14,"500440",1,1,981.0475888858
"154",2009,14,"520725",1,1,981.0475888858
"155",2009,14,"500025",1,1,981.0475888858
"156",2009,14,"500630",1,1,981.0475888858
"157",2009,14,"521930",1,1,981.0475888858
"158",2009,14,"521850",1,1,981.0475888858
"159",2009,14,"521630",1,1,981.0475888858
"160",2009,14,"500390",1,1,981.0475888858
"161",2009,14,"521971",1,1,981.0475888858
"162",2009,14,"521565",1,1,981.0475888858
"163",2009,14,"510120",1,1,981.0475888858
"164",2009,14,"510670",1,1,981.0475888858
"165",2009,14,"522040",1,1,981.0475888858
"166",2009,14,"521300",1,1,981.0475888858
"167",2009,14,"520505",1,1,981.0475888858
"168",2009,14,"510719",1,1,981.0475888858
"169",2009,14,"521720",1,1,981.0475888858
"170",2009,14,"500020",1,1,981.0475888858
