"","year","CLUSTER","mun","year_grp","months","RADIUS"
"1",2004,1,"110110",1,5,0
"2",2004,10,"110013",1,5,98.5327359516
"3",2004,10,"110175",1,5,98.5327359516
"4",2004,10,"110094",1,5,98.5327359516
"5",2004,10,"110026",1,5,98.5327359516
"6",2004,11,"160023",1,1,49.9204632111
"7",2004,11,"160053",1,1,49.9204632111
"8",2004,12,"130185",1,2,0
"9",2004,13,"130063",1,1,153.308278442
"10",2004,13,"130010",1,1,153.308278442
"11",2004,13,"130008",1,1,153.308278442
"12",2004,13,"130255",1,1,153.308278442
"13",2004,14,"510325",1,5,0
"14",2004,15,"150085",1,4,0
"15",2004,16,"130002",1,4,0
"16",2004,17,"130040",1,1,367.2766427988
"17",2004,17,"130360",1,1,367.2766427988
"18",2004,17,"130320",1,1,367.2766427988
"19",2004,17,"140020",1,1,367.2766427988
"20",2004,17,"140047",1,1,367.2766427988
"21",2004,17,"130280",1,1,367.2766427988
"22",2004,17,"140028",1,1,367.2766427988
"23",2004,17,"130130",1,1,367.2766427988
"24",2004,17,"130083",1,1,367.2766427988
"25",2004,17,"140030",1,1,367.2766427988
"26",2004,18,"210197",1,1,0
"27",2004,19,"150470",1,1,85.2396923043
"28",2004,19,"150795",1,1,85.2396923043
"29",2004,19,"150460",1,1,85.2396923043
"30",2004,19,"150210",1,1,85.2396923043
"31",2004,19,"150330",1,1,85.2396923043
"32",2004,19,"150120",1,1,85.2396923043
"33",2004,2,"110033",1,5,83.6986526947
"34",2004,2,"110045",1,5,83.6986526947
"35",2004,20,"130240",1,1,0
"36",2004,3,"130110",1,5,0
"37",2004,4,"130090",1,5,0
"38",2004,5,"140017",1,2,0
"39",2004,6,"160040",1,3,0
"40",2004,7,"120042",1,1,0
"41",2004,8,"130430",1,5,193.9097280028
"42",2004,8,"130353",1,5,193.9097280028
"43",2004,8,"130395",1,5,193.9097280028
"44",2004,8,"150300",1,5,193.9097280028
"45",2004,8,"130300",1,5,193.9097280028
"46",2004,8,"130200",1,5,193.9097280028
"47",2004,8,"140050",1,5,193.9097280028
"48",2004,8,"130356",1,5,193.9097280028
"49",2004,9,"110140",1,5,62.4453710847
"50",2004,9,"110060",1,5,62.4453710847
"51",2004,9,"110002",1,5,62.4453710847
"52",2004,9,"110070",1,5,62.4453710847
"53",2004,9,"110040",1,5,62.4453710847
"54",2005,1,"120042",1,2,0
"55",2005,10,"160040",1,2,0
"56",2005,11,"140017",1,4,0
"57",2005,12,"130240",1,5,0
"58",2005,13,"510140",1,3,129.9979204555
"59",2005,13,"510325",1,3,129.9979204555
"60",2005,13,"510757",1,3,129.9979204555
"61",2005,14,"130080",1,1,130.0633397178
"62",2005,14,"130030",1,1,130.0633397178
"63",2005,15,"130320",1,3,0
"64",2005,16,"130185",1,1,0
"65",2005,17,"150520",1,1,97.2140592348
"66",2005,17,"150110",1,1,97.2140592348
"67",2005,17,"150210",1,1,97.2140592348
"68",2005,17,"150460",1,1,97.2140592348
"69",2005,17,"150400",1,1,97.2140592348
"70",2005,17,"150280",1,1,97.2140592348
"71",2005,17,"150330",1,1,97.2140592348
"72",2005,17,"150770",1,1,97.2140592348
"73",2005,17,"150120",1,1,97.2140592348
"74",2005,18,"130002",1,1,0
"75",2005,19,"130063",1,1,169.5738548005
"76",2005,19,"130010",1,1,169.5738548005
"77",2005,19,"130008",1,1,169.5738548005
"78",2005,19,"130255",1,1,169.5738548005
"79",2005,19,"130083",1,1,169.5738548005
"80",2005,2,"130110",1,2,0
"81",2005,20,"110160",1,1,126.5520461046
"82",2005,20,"110180",1,1,126.5520461046
"83",2005,20,"110015",1,1,126.5520461046
"84",2005,20,"110011",1,1,126.5520461046
"85",2005,20,"110175",1,1,126.5520461046
"86",2005,20,"110002",1,1,126.5520461046
"87",2005,20,"110026",1,1,126.5520461046
"88",2005,20,"110060",1,1,126.5520461046
"89",2005,20,"110012",1,1,126.5520461046
"90",2005,20,"110143",1,1,126.5520461046
"91",2005,20,"110155",1,1,126.5520461046
"92",2005,20,"110013",1,1,126.5520461046
"93",2005,20,"110094",1,1,126.5520461046
"94",2005,20,"110170",1,1,126.5520461046
"95",2005,20,"110140",1,1,126.5520461046
"96",2005,20,"110100",1,1,126.5520461046
"97",2005,20,"110130",1,1,126.5520461046
"98",2005,20,"110040",1,1,126.5520461046
"99",2005,3,"130020",1,2,273.4896106423
"100",2005,3,"130060",1,2,273.4896106423
"101",2005,3,"130180",1,2,273.4896106423
"102",2005,3,"130165",1,2,273.4896106423
"103",2005,3,"130140",1,2,273.4896106423
"104",2005,3,"120033",1,2,273.4896106423
"105",2005,4,"110110",1,5,0
"106",2005,5,"130430",1,5,220.9229574113
"107",2005,5,"130353",1,5,220.9229574113
"108",2005,5,"130395",1,5,220.9229574113
"109",2005,5,"150300",1,5,220.9229574113
"110",2005,5,"130300",1,5,220.9229574113
"111",2005,5,"130200",1,5,220.9229574113
"112",2005,5,"140050",1,5,220.9229574113
"113",2005,5,"130356",1,5,220.9229574113
"114",2005,5,"140023",1,5,220.9229574113
"115",2005,5,"130400",1,5,220.9229574113
"116",2005,6,"130090",1,5,0
"117",2005,7,"120020",1,1,0
"118",2005,8,"150548",1,5,0
"119",2005,9,"110033",1,5,83.6986526947
"120",2005,9,"110045",1,5,83.6986526947
"121",2006,1,"120042",1,2,0
"122",2006,10,"110033",1,1,83.6986526947
"123",2006,10,"110045",1,1,83.6986526947
"124",2006,11,"140017",1,1,0
"125",2006,12,"510757",1,5,0
"126",2006,13,"130320",1,2,0
"127",2006,14,"150300",1,3,243.7372412339
"128",2006,14,"130300",1,3,243.7372412339
"129",2006,14,"130395",1,3,243.7372412339
"130",2006,14,"130430",1,3,243.7372412339
"131",2006,14,"150530",1,3,243.7372412339
"132",2006,14,"130200",1,3,243.7372412339
"133",2006,14,"150797",1,3,243.7372412339
"134",2006,14,"130440",1,3,243.7372412339
"135",2006,14,"130340",1,3,243.7372412339
"136",2006,14,"130400",1,3,243.7372412339
"137",2006,14,"130068",1,3,243.7372412339
"138",2006,14,"130050",1,3,243.7372412339
"139",2006,14,"150390",1,3,243.7372412339
"140",2006,14,"130353",1,3,243.7372412339
"141",2006,15,"150070",1,2,0
"142",2006,16,"130008",1,1,49.9081568544
"143",2006,16,"130083",1,1,49.9081568544
"144",2006,17,"510615",1,2,249.7521145031
"145",2006,17,"510337",1,2,249.7521145031
"146",2006,17,"510517",1,2,249.7521145031
"147",2006,17,"510895",1,2,249.7521145031
"148",2006,17,"510080",1,2,249.7521145031
"149",2006,17,"510285",1,2,249.7521145031
"150",2006,17,"510510",1,2,249.7521145031
"151",2006,17,"510629",1,2,249.7521145031
