"","year","CLUSTER","mun","year_grp","months","RADIUS"
"1",2004,1,"110110",1,5,0
"2",2004,10,"130185",1,2,0
"3",2004,11,"130002",1,4,0
"4",2004,12,"150085",1,5,0
"5",2004,13,"150470",1,2,85.2396923043
"6",2004,13,"150795",1,2,85.2396923043
"7",2004,13,"150460",1,2,85.2396923043
"8",2004,13,"150210",1,2,85.2396923043
"9",2004,13,"150330",1,2,85.2396923043
"10",2004,13,"150120",1,2,85.2396923043
"11",2004,14,"130320",1,2,116.4969939366
"12",2004,14,"130083",1,2,116.4969939366
"13",2004,15,"110009",1,2,0
"14",2004,2,"110033",1,5,83.6986526947
"15",2004,2,"110045",1,5,83.6986526947
"16",2004,3,"130110",1,5,57.0015425928
"17",2004,3,"130255",1,5,57.0015425928
"18",2004,4,"140030",1,5,163.6447293336
"19",2004,4,"140028",1,5,163.6447293336
"20",2004,4,"140005",1,5,163.6447293336
"21",2004,4,"140002",1,5,163.6447293336
"22",2004,4,"140010",1,5,163.6447293336
"23",2004,4,"140017",1,5,163.6447293336
"24",2004,5,"130170",1,5,201.3097354777
"25",2004,5,"130270",1,5,201.3097354777
"26",2004,5,"130090",1,5,201.3097354777
"27",2004,5,"110080",1,5,201.3097354777
"28",2004,5,"110094",1,5,201.3097354777
"29",2004,6,"160040",1,3,0
"30",2004,7,"130430",1,5,193.9097280028
"31",2004,7,"130353",1,5,193.9097280028
"32",2004,7,"130395",1,5,193.9097280028
"33",2004,7,"150300",1,5,193.9097280028
"34",2004,7,"130300",1,5,193.9097280028
"35",2004,7,"130200",1,5,193.9097280028
"36",2004,7,"140050",1,5,193.9097280028
"37",2004,7,"130356",1,5,193.9097280028
"38",2004,8,"120042",1,1,0
"39",2004,9,"110140",1,5,62.4453710847
"40",2004,9,"110060",1,5,62.4453710847
"41",2004,9,"110002",1,5,62.4453710847
"42",2004,9,"110070",1,5,62.4453710847
"43",2004,9,"110040",1,5,62.4453710847
"44",2005,1,"120042",1,2,0
"45",2005,10,"120020",1,2,0
"46",2005,11,"130080",1,1,130.0633397178
"47",2005,11,"130030",1,1,130.0633397178
"48",2005,12,"130320",1,2,116.4969939366
"49",2005,12,"130083",1,2,116.4969939366
"50",2005,13,"130240",1,1,0
"51",2005,14,"130185",1,1,0
"52",2005,15,"150520",1,1,97.2140592348
"53",2005,15,"150110",1,1,97.2140592348
"54",2005,15,"150210",1,1,97.2140592348
"55",2005,15,"150460",1,1,97.2140592348
"56",2005,15,"150400",1,1,97.2140592348
"57",2005,15,"150280",1,1,97.2140592348
"58",2005,15,"150330",1,1,97.2140592348
"59",2005,15,"150770",1,1,97.2140592348
"60",2005,15,"150120",1,1,97.2140592348
"61",2005,16,"130002",1,1,0
"62",2005,17,"110011",1,2,157.9626412242
"63",2005,17,"110143",1,2,157.9626412242
"64",2005,17,"110015",1,2,157.9626412242
"65",2005,17,"110155",1,2,157.9626412242
"66",2005,17,"110060",1,2,157.9626412242
"67",2005,17,"110180",1,2,157.9626412242
"68",2005,17,"110160",1,2,157.9626412242
"69",2005,17,"110170",1,2,157.9626412242
"70",2005,17,"110130",1,2,157.9626412242
