"","year","CLUSTER","mun","year_grp","months","RADIUS"
"1",2004,1,"120017",1,5,664.2432114039
"2",2004,1,"120038",1,5,664.2432114039
"3",2004,1,"120045",1,5,664.2432114039
"4",2004,1,"120070",1,5,664.2432114039
"5",2004,1,"120040",1,5,664.2432114039
"6",2004,1,"120080",1,5,664.2432114039
"7",2004,1,"120025",1,5,664.2432114039
"8",2004,1,"120013",1,5,664.2432114039
"9",2004,1,"120001",1,5,664.2432114039
"10",2004,1,"120010",1,5,664.2432114039
"11",2004,1,"120050",1,5,664.2432114039
"12",2004,1,"130070",1,5,664.2432114039
"13",2004,1,"120005",1,5,664.2432114039
"14",2004,1,"120034",1,5,664.2432114039
"15",2004,1,"120043",1,5,664.2432114039
"16",2004,1,"130350",1,5,664.2432114039
"17",2004,1,"130240",1,5,664.2432114039
"18",2004,1,"110033",1,5,664.2432114039
"19",2004,1,"120030",1,5,664.2432114039
"20",2004,1,"110010",1,5,664.2432114039
"21",2004,1,"130150",1,5,664.2432114039
"22",2004,1,"110020",1,5,664.2432114039
"23",2004,1,"130195",1,5,664.2432114039
"24",2004,1,"110045",1,5,664.2432114039
"25",2004,1,"110070",1,5,664.2432114039
"26",2004,1,"110008",1,5,664.2432114039
"27",2004,1,"130140",1,5,664.2432114039
"28",2004,1,"120032",1,5,664.2432114039
"29",2004,1,"120060",1,5,664.2432114039
"30",2004,1,"110140",1,5,664.2432114039
"31",2004,1,"110040",1,5,664.2432114039
"32",2004,1,"110100",1,5,664.2432114039
"33",2004,1,"110150",1,5,664.2432114039
"34",2004,1,"110080",1,5,664.2432114039
"35",2004,1,"110060",1,5,664.2432114039
"36",2004,1,"130090",1,5,664.2432114039
"37",2004,1,"110002",1,5,664.2432114039
"38",2004,1,"130180",1,5,664.2432114039
"39",2004,1,"120035",1,5,664.2432114039
"40",2004,1,"110110",1,5,664.2432114039
"41",2004,1,"110130",1,5,664.2432114039
"42",2004,1,"110032",1,5,664.2432114039
"43",2004,1,"110149",1,5,664.2432114039
"44",2004,1,"110026",1,5,664.2432114039
"45",2004,1,"110011",1,5,664.2432114039
"46",2004,1,"120039",1,5,664.2432114039
"47",2004,1,"110143",1,5,664.2432114039
"48",2004,1,"130410",1,5,664.2432114039
"49",2004,1,"110034",1,5,664.2432114039
"50",2004,1,"110170",1,5,664.2432114039
"51",2004,1,"110094",1,5,664.2432114039
"52",2004,1,"130100",1,5,664.2432114039
"53",2004,1,"110160",1,5,664.2432114039
"54",2004,1,"120020",1,5,664.2432114039
"55",2004,1,"110155",1,5,664.2432114039
"56",2004,1,"110015",1,5,664.2432114039
"57",2004,1,"130060",1,5,664.2432114039
"58",2004,1,"110014",1,5,664.2432114039
"59",2004,1,"110180",1,5,664.2432114039
"60",2004,1,"110050",1,5,664.2432114039
"61",2004,1,"130230",1,5,664.2432114039
"62",2004,1,"110001",1,5,664.2432114039
"63",2004,1,"110175",1,5,664.2432114039
"64",2004,1,"110013",1,5,664.2432114039
"65",2004,1,"110025",1,5,664.2432114039
"66",2004,1,"130165",1,5,664.2432114039
"67",2004,1,"110090",1,5,664.2432114039
"68",2004,1,"120042",1,5,664.2432114039
"69",2004,1,"110012",1,5,664.2432114039
"70",2004,2,"210197",1,5,0
"71",2004,3,"160027",1,5,0
"72",2004,4,"150550",1,5,118.8939433202
"73",2004,4,"150345",1,5,118.8939433202
"74",2004,4,"150812",1,5,118.8939433202
"75",2004,4,"150800",1,5,118.8939433202
"76",2004,4,"150095",1,5,118.8939433202
"77",2004,4,"150293",1,5,118.8939433202
"78",2004,4,"210317",1,5,118.8939433202
"79",2004,5,"510558",1,5,794.2783491183
"80",2004,5,"510830",1,5,794.2783491183
"81",2004,5,"510619",1,5,794.2783491183
"82",2004,5,"510642",1,5,794.2783491183
"83",2004,5,"510560",1,5,794.2783491183
"84",2004,5,"510805",1,5,794.2783491183
"85",2004,5,"510370",1,5,794.2783491183
"86",2004,5,"510305",1,5,794.2783491183
"87",2004,5,"510410",1,5,794.2783491183
"88",2004,5,"510724",1,5,794.2783491183
"89",2004,5,"510880",1,5,794.2783491183
"90",2004,5,"510320",1,5,794.2783491183
"91",2004,5,"510735",1,5,794.2783491183
"92",2004,5,"510455",1,5,794.2783491183
"93",2004,5,"510790",1,5,794.2783491183
"94",2004,5,"510774",1,5,794.2783491183
"95",2004,5,"510626",1,5,794.2783491183
"96",2004,5,"510706",1,5,794.2783491183
"97",2004,5,"510279",1,5,794.2783491183
"98",2004,5,"510621",1,5,794.2783491183
"99",2004,5,"510850",1,5,794.2783491183
"100",2004,5,"510785",1,5,794.2783491183
"101",2004,5,"510385",1,5,794.2783491183
"102",2004,5,"510269",1,5,794.2783491183
"103",2004,5,"510624",1,5,794.2783491183
"104",2004,5,"510452",1,5,794.2783491183
"105",2004,5,"510677",1,5,794.2783491183
"106",2004,5,"510335",1,5,794.2783491183
"107",2004,5,"510794",1,5,794.2783491183
"108",2004,5,"510025",1,5,794.2783491183
"109",2004,5,"510035",1,5,794.2783491183
"110",2004,5,"510792",1,5,794.2783491183
"111",2004,5,"510185",1,5,794.2783491183
"112",2004,5,"510860",1,5,794.2783491183
"113",2004,5,"510680",1,5,794.2783491183
"114",2004,5,"510630",1,5,794.2783491183
"115",2004,5,"510788",1,5,794.2783491183
"116",2004,5,"510629",1,5,794.2783491183
"117",2004,5,"510454",1,5,794.2783491183
"118",2004,5,"510270",1,5,794.2783491183
"119",2004,5,"510800",1,5,794.2783491183
"120",2004,5,"510525",1,5,794.2783491183
"121",2004,5,"510530",1,5,794.2783491183
"122",2004,5,"510718",1,5,794.2783491183
"123",2004,5,"510776",1,5,794.2783491183
"124",2004,5,"150503",1,5,794.2783491183
"125",2004,5,"510627",1,5,794.2783491183
"126",2004,5,"510777",1,5,794.2783491183
"127",2004,5,"510895",1,5,794.2783491183
"128",2004,5,"510622",1,5,794.2783491183
"129",2004,5,"510631",1,5,794.2783491183
"130",2004,5,"510020",1,5,794.2783491183
"131",2004,5,"510510",1,5,794.2783491183
"132",2004,5,"510260",1,5,794.2783491183
"133",2004,5,"510890",1,5,794.2783491183
"134",2004,5,"150276",1,5,794.2783491183
"135",2004,5,"150670",1,5,794.2783491183
"136",2004,5,"510645",1,5,794.2783491183
"137",2004,5,"510730",1,5,794.2783491183
"138",2004,5,"171190",1,5,794.2783491183
"139",2004,5,"510590",1,5,794.2783491183
"140",2004,5,"510617",1,5,794.2783491183
"141",2004,5,"510620",1,5,794.2783491183
"142",2004,5,"170820",1,5,794.2783491183
"143",2004,5,"510625",1,5,794.2783491183
"144",2004,5,"150730",1,5,794.2783491183
"145",2004,5,"510615",1,5,794.2783491183
"146",2004,5,"510310",1,5,794.2783491183
"147",2004,5,"510190",1,5,794.2783491183
"148",2004,5,"171750",1,5,794.2783491183
"149",2004,5,"510350",1,5,794.2783491183
"150",2004,5,"510704",1,5,794.2783491183
"151",2004,5,"150543",1,5,794.2783491183
"152",2004,5,"510628",1,5,794.2783491183
"153",2004,5,"510080",1,5,794.2783491183
"154",2004,5,"510770",1,5,794.2783491183
"155",2004,5,"150658",1,5,794.2783491183
"156",2004,5,"510600",1,5,794.2783491183
"157",2004,5,"522020",1,5,794.2783491183
"158",2004,5,"171884",1,5,794.2783491183
"159",2004,5,"170390",1,5,794.2783491183
"160",2004,5,"150060",1,5,794.2783491183
"161",2004,5,"171250",1,5,794.2783491183
"162",2004,5,"510300",1,5,794.2783491183
"163",2004,5,"510285",1,5,794.2783491183
"164",2004,5,"510517",1,5,794.2783491183
"165",2004,5,"510130",1,5,794.2783491183
"166",2004,5,"510267",1,5,794.2783491183
"167",2004,5,"170730",1,5,794.2783491183
"168",2004,5,"510050",1,5,794.2783491183
"169",2004,5,"510885",1,5,794.2783491183
"170",2004,5,"170610",1,5,794.2783491183
"171",2004,5,"171889",1,5,794.2783491183
"172",2004,5,"170200",1,5,794.2783491183
"173",2004,5,"150375",1,5,794.2783491183
"174",2004,5,"521483",1,5,794.2783491183
"175",2004,5,"510263",1,5,794.2783491183
"176",2004,5,"510390",1,5,794.2783491183
"177",2004,5,"510180",1,5,794.2783491183
"178",2004,5,"150613",1,5,794.2783491183
"179",2004,5,"510337",1,5,794.2783491183
"180",2004,5,"521405",1,5,794.2783491183
"181",2004,5,"510345",1,5,794.2783491183
"182",2004,5,"510100",1,5,794.2783491183
"183",2004,5,"170710",1,5,794.2783491183
"184",2004,5,"150125",1,5,794.2783491183
"185",2004,5,"510726",1,5,794.2783491183
"186",2004,5,"510360",1,5,794.2783491183
"187",2004,5,"510010",1,5,794.2783491183
"188",2004,5,"170460",1,5,794.2783491183
"189",2004,5,"150808",1,5,794.2783491183
"190",2004,5,"170765",1,5,794.2783491183
"191",2004,5,"170025",1,5,794.2783491183
"192",2004,5,"170190",1,5,794.2783491183
"193",2004,5,"510340",1,5,794.2783491183
"194",2004,5,"520250",1,5,794.2783491183
"195",2004,5,"510700",1,5,794.2783491183
"196",2004,5,"150555",1,5,794.2783491183
"197",2004,5,"171500",1,5,794.2783491183
"198",2004,5,"510787",1,5,794.2783491183
"199",2004,5,"510810",1,5,794.2783491183
"200",2004,5,"510490",1,5,794.2783491183
"201",2004,5,"170035",1,5,794.2783491183
"202",2004,5,"170070",1,5,794.2783491183
"203",2004,5,"510623",1,5,794.2783491183
"204",2004,5,"170755",1,5,794.2783491183
"205",2004,5,"171845",1,5,794.2783491183
"206",2004,5,"510480",1,5,794.2783491183
"207",2004,5,"170950",1,5,794.2783491183
"208",2004,5,"510840",1,5,794.2783491183
"209",2004,5,"520380",1,5,794.2783491183
"210",2004,5,"170720",1,5,794.2783491183
"211",2004,5,"171610",1,5,794.2783491183
"212",2004,5,"510665",1,5,794.2783491183
"213",2004,5,"510515",1,5,794.2783491183
"214",2004,5,"150270",1,5,794.2783491183
"215",2004,5,"521800",1,5,794.2783491183
"216",2004,5,"510520",1,5,794.2783491183
"217",2004,5,"170830",1,5,794.2783491183
"218",2004,5,"521220",1,5,794.2783491183
"219",2004,5,"510170",1,5,794.2783491183
"220",2004,5,"520640",1,5,794.2783491183
"221",2004,5,"170600",1,5,794.2783491183
"222",2004,5,"520170",1,5,794.2783491183
"223",2004,5,"520495",1,5,794.2783491183
"224",2004,5,"150616",1,5,794.2783491183
"225",2004,5,"521410",1,5,794.2783491183
"226",2004,5,"150034",1,5,794.2783491183
"227",2004,5,"510795",1,5,794.2783491183
"228",2004,5,"171820",1,5,794.2783491183
"229",2004,5,"521970",1,5,794.2783491183
"230",2004,5,"171330",1,5,794.2783491183
