"","year","CLUSTER","mun","year_grp","months","RADIUS"
"1",2004,1,"140047",1,5,1260.5328628092
"2",2004,1,"140020",1,5,1260.5328628092
"3",2004,1,"140060",1,5,1260.5328628092
"4",2004,1,"140050",1,5,1260.5328628092
"5",2004,1,"130353",1,5,1260.5328628092
"6",2004,1,"140023",1,5,1260.5328628092
"7",2004,1,"130430",1,5,1260.5328628092
"8",2004,1,"130320",1,5,1260.5328628092
"9",2004,1,"140017",1,5,1260.5328628092
"10",2004,1,"130040",1,5,1260.5328628092
"11",2004,1,"140028",1,5,1260.5328628092
"12",2004,1,"140030",1,5,1260.5328628092
"13",2004,1,"130260",1,5,1260.5328628092
"14",2004,1,"140015",1,5,1260.5328628092
"15",2004,1,"130356",1,5,1260.5328628092
"16",2004,1,"130395",1,5,1260.5328628092
"17",2004,1,"140010",1,5,1260.5328628092
"18",2004,1,"130185",1,5,1260.5328628092
"19",2004,1,"130083",1,5,1260.5328628092
"20",2004,1,"130250",1,5,1260.5328628092
"21",2004,1,"150300",1,5,1260.5328628092
"22",2004,1,"130200",1,5,1260.5328628092
"23",2004,1,"140005",1,5,1260.5328628092
"24",2004,1,"130008",1,5,1260.5328628092
"25",2004,1,"130115",1,5,1260.5328628092
"26",2004,1,"130300",1,5,1260.5328628092
"27",2004,1,"130400",1,5,1260.5328628092
"28",2004,1,"130255",1,5,1260.5328628092
"29",2004,1,"130130",1,5,1260.5328628092
"30",2004,1,"150530",1,5,1260.5328628092
"31",2004,1,"130110",1,5,1260.5328628092
"32",2004,1,"130190",1,5,1260.5328628092
"33",2004,1,"140040",1,5,1260.5328628092
"34",2004,1,"140002",1,5,1260.5328628092
"35",2004,1,"130030",1,5,1260.5328628092
"36",2004,1,"140045",1,5,1260.5328628092
"37",2004,1,"130440",1,5,1260.5328628092
"38",2004,1,"130010",1,5,1260.5328628092
"39",2004,1,"130360",1,5,1260.5328628092
"40",2004,1,"130068",1,5,1260.5328628092
"41",2004,1,"130310",1,5,1260.5328628092
"42",2004,1,"140070",1,5,1260.5328628092
"43",2004,1,"130063",1,5,1260.5328628092
"44",2004,1,"130280",1,5,1260.5328628092
"45",2004,1,"150797",1,5,1260.5328628092
"46",2004,1,"130340",1,5,1260.5328628092
"47",2004,1,"130050",1,5,1260.5328628092
"48",2004,1,"130080",1,5,1260.5328628092
"49",2004,1,"150510",1,5,1260.5328628092
"50",2004,1,"130426",1,5,1260.5328628092
"51",2004,1,"130120",1,5,1260.5328628092
"52",2004,1,"150390",1,5,1260.5328628092
"53",2004,1,"130002",1,5,1260.5328628092
"54",2004,1,"130290",1,5,1260.5328628092
"55",2004,1,"130160",1,5,1260.5328628092
"56",2004,1,"150040",1,5,1260.5328628092
"57",2004,1,"150285",1,5,1260.5328628092
"58",2004,1,"150100",1,5,1260.5328628092
"59",2004,1,"130420",1,5,1260.5328628092
"60",2004,1,"130220",1,5,1260.5328628092
"61",2004,1,"130270",1,5,1260.5328628092
"62",2004,1,"150680",1,5,1260.5328628092
"63",2004,1,"150480",1,5,1260.5328628092
"64",2004,1,"150145",1,5,1260.5328628092
"65",2004,1,"130330",1,5,1260.5328628092
"66",2004,1,"130380",1,5,1260.5328628092
"67",2004,1,"150050",1,5,1260.5328628092
"68",2004,1,"150805",1,5,1260.5328628092
"69",2004,1,"150619",1,5,1260.5328628092
