"","year","CLUSTER","mun","year_grp","months","RADIUS"
"1",2004,1,"110040",1,5,519.6229119605
"2",2004,1,"110002",1,5,519.6229119605
"3",2004,1,"110140",1,5,519.6229119605
"4",2004,1,"110110",1,5,519.6229119605
"5",2004,1,"110026",1,5,519.6229119605
"6",2004,1,"110045",1,5,519.6229119605
"7",2004,1,"110080",1,5,519.6229119605
"8",2004,1,"110060",1,5,519.6229119605
"9",2004,1,"110070",1,5,519.6229119605
"10",2004,1,"110094",1,5,519.6229119605
"11",2004,1,"110020",1,5,519.6229119605
"12",2004,1,"110100",1,5,519.6229119605
"13",2004,1,"110160",1,5,519.6229119605
"14",2004,1,"110011",1,5,519.6229119605
"15",2004,1,"110033",1,5,519.6229119605
"16",2004,1,"110013",1,5,519.6229119605
"17",2004,1,"110175",1,5,519.6229119605
"18",2004,1,"110180",1,5,519.6229119605
"19",2004,1,"110143",1,5,519.6229119605
"20",2004,1,"110130",1,5,519.6229119605
"21",2004,1,"110015",1,5,519.6229119605
"22",2004,1,"110155",1,5,519.6229119605
"23",2004,1,"110170",1,5,519.6229119605
"24",2004,1,"110012",1,5,519.6229119605
"25",2004,1,"110034",1,5,519.6229119605
"26",2004,1,"110010",1,5,519.6229119605
"27",2004,1,"110032",1,5,519.6229119605
"28",2004,1,"110025",1,5,519.6229119605
"29",2004,1,"110150",1,5,519.6229119605
"30",2004,1,"110014",1,5,519.6229119605
"31",2004,1,"110120",1,5,519.6229119605
"32",2004,1,"130090",1,5,519.6229119605
"33",2004,1,"110090",1,5,519.6229119605
"34",2004,1,"110050",1,5,519.6229119605
"35",2004,1,"130170",1,5,519.6229119605
"36",2004,1,"510757",1,5,519.6229119605
"37",2004,1,"110008",1,5,519.6229119605
"38",2004,1,"110004",1,5,519.6229119605
"39",2004,1,"110028",1,5,519.6229119605
"40",2004,1,"130240",1,5,519.6229119605
"41",2004,1,"110149",1,5,519.6229119605
"42",2004,1,"110029",1,5,519.6229119605
"43",2004,1,"110148",1,5,519.6229119605
"44",2004,1,"110147",1,5,519.6229119605
"45",2004,1,"110001",1,5,519.6229119605
"46",2004,1,"510325",1,5,519.6229119605
"47",2004,1,"110009",1,5,519.6229119605
"48",2004,1,"110145",1,5,519.6229119605
"49",2004,1,"110037",1,5,519.6229119605
"50",2004,1,"110018",1,5,519.6229119605
"51",2004,1,"120001",1,5,519.6229119605
"52",2004,1,"510140",1,5,519.6229119605
"53",2004,1,"130270",1,5,519.6229119605
"54",2004,1,"110092",1,5,519.6229119605
"55",2004,1,"130410",1,5,519.6229119605
"56",2004,1,"120038",1,5,519.6229119605
"57",2004,1,"110030",1,5,519.6229119605
"58",2004,1,"110146",1,5,519.6229119605
"59",2004,1,"110007",1,5,519.6229119605
"60",2004,1,"120045",1,5,519.6229119605
"61",2004,1,"130330",1,5,519.6229119605
"62",2004,1,"110005",1,5,519.6229119605
"63",2004,1,"120080",1,5,519.6229119605
"64",2004,1,"130014",1,5,519.6229119605
"65",2004,1,"510515",1,5,519.6229119605
"66",2004,1,"120017",1,5,519.6229119605
"67",2004,1,"110006",1,5,519.6229119605
"68",2004,1,"510337",1,5,519.6229119605
"69",2004,1,"130070",1,5,519.6229119605
"70",2004,2,"150565",1,5,581.2578374209
"71",2004,2,"150815",1,5,581.2578374209
"72",2004,2,"150619",1,5,581.2578374209
"73",2004,2,"150145",1,5,581.2578374209
"74",2004,2,"150680",1,5,581.2578374209
"75",2004,2,"150445",1,5,581.2578374209
"76",2004,2,"150100",1,5,581.2578374209
"77",2004,2,"150172",1,5,581.2578374209
"78",2004,2,"150805",1,5,581.2578374209
"79",2004,2,"150600",1,5,581.2578374209
"80",2004,2,"150285",1,5,581.2578374209
"81",2004,2,"150390",1,5,581.2578374209
"82",2004,2,"150590",1,5,581.2578374209
"83",2004,2,"150835",1,5,581.2578374209
"84",2004,2,"130340",1,5,581.2578374209
"85",2004,2,"150060",1,5,581.2578374209
"86",2004,2,"150780",1,5,581.2578374209
"87",2004,2,"150797",1,5,581.2578374209
"88",2004,2,"130050",1,5,581.2578374209
"89",2004,2,"150480",1,5,581.2578374209
"90",2004,2,"150360",1,5,581.2578374209
"91",2004,2,"150085",1,5,581.2578374209
"92",2004,2,"130068",1,5,581.2578374209
"93",2004,2,"150040",1,5,581.2578374209
"94",2004,2,"130440",1,5,581.2578374209
"95",2004,2,"130290",1,5,581.2578374209
"96",2004,2,"150580",1,5,581.2578374209
"97",2004,2,"160080",1,5,581.2578374209
"98",2004,2,"130300",1,5,581.2578374209
"99",2004,2,"150548",1,5,581.2578374209
"100",2004,2,"150510",1,5,581.2578374209
