"","year","CLUSTER","mun","year_grp","months","RADIUS"
"1",2004,1,"140002",1,5,1607.0805600871
"2",2004,1,"140005",1,5,1607.0805600871
"3",2004,1,"140030",1,5,1607.0805600871
"4",2004,1,"140028",1,5,1607.0805600871
"5",2004,1,"140045",1,5,1607.0805600871
"6",2004,1,"140010",1,5,1607.0805600871
"7",2004,1,"140070",1,5,1607.0805600871
"8",2004,1,"140040",1,5,1607.0805600871
"9",2004,1,"140017",1,5,1607.0805600871
"10",2004,1,"140015",1,5,1607.0805600871
"11",2004,1,"140020",1,5,1607.0805600871
"12",2004,1,"140060",1,5,1607.0805600871
"13",2004,1,"140047",1,5,1607.0805600871
"14",2004,1,"140050",1,5,1607.0805600871
"15",2004,1,"140023",1,5,1607.0805600871
"16",2004,1,"130040",1,5,1607.0805600871
"17",2004,1,"130360",1,5,1607.0805600871
"18",2004,1,"130353",1,5,1607.0805600871
"19",2004,1,"130430",1,5,1607.0805600871
"20",2004,1,"130320",1,5,1607.0805600871
"21",2004,1,"150530",1,5,1607.0805600871
"22",2004,1,"130380",1,5,1607.0805600871
"23",2004,1,"130280",1,5,1607.0805600871
"24",2004,1,"130260",1,5,1607.0805600871
"25",2004,1,"150300",1,5,1607.0805600871
"26",2004,1,"130395",1,5,1607.0805600871
"27",2004,1,"130083",1,5,1607.0805600871
"28",2004,1,"130356",1,5,1607.0805600871
"29",2004,1,"130130",1,5,1607.0805600871
"30",2004,1,"130185",1,5,1607.0805600871
"31",2004,1,"130250",1,5,1607.0805600871
"32",2004,1,"130300",1,5,1607.0805600871
"33",2004,1,"130008",1,5,1607.0805600871
"34",2004,1,"130200",1,5,1607.0805600871
"35",2004,1,"130160",1,5,1607.0805600871
"36",2004,1,"130426",1,5,1607.0805600871
"37",2004,1,"130115",1,5,1607.0805600871
"38",2004,1,"130400",1,5,1607.0805600871
"39",2004,1,"130255",1,5,1607.0805600871
"40",2004,1,"150510",1,5,1607.0805600871
"41",2004,1,"130190",1,5,1607.0805600871
"42",2004,1,"130110",1,5,1607.0805600871
"43",2004,1,"130010",1,5,1607.0805600871
"44",2004,1,"130002",1,5,1607.0805600871
"45",2004,1,"130210",1,5,1607.0805600871
"46",2004,1,"130440",1,5,1607.0805600871
"47",2004,1,"130030",1,5,1607.0805600871
"48",2004,1,"130220",1,5,1607.0805600871
"49",2004,1,"150797",1,5,1607.0805600871
"50",2004,1,"130120",1,5,1607.0805600871
"51",2004,1,"130068",1,5,1607.0805600871
"52",2004,1,"130063",1,5,1607.0805600871
"53",2004,1,"130423",1,5,1607.0805600871
"54",2004,1,"130340",1,5,1607.0805600871
"55",2004,1,"150040",1,5,1607.0805600871
"56",2004,1,"130310",1,5,1607.0805600871
"57",2004,1,"130050",1,5,1607.0805600871
"58",2004,1,"130420",1,5,1607.0805600871
"59",2004,1,"150390",1,5,1607.0805600871
"60",2004,1,"130080",1,5,1607.0805600871
"61",2004,1,"150285",1,5,1607.0805600871
"62",2004,1,"150050",1,5,1607.0805600871
"63",2004,1,"130006",1,5,1607.0805600871
"64",2004,1,"150480",1,5,1607.0805600871
"65",2004,1,"160027",1,5,1607.0805600871
"66",2004,1,"130370",1,5,1607.0805600871
"67",2004,1,"130290",1,5,1607.0805600871
"68",2004,1,"150100",1,5,1607.0805600871
"69",2004,1,"150680",1,5,1607.0805600871
"70",2004,1,"130100",1,5,1607.0805600871
"71",2004,1,"130410",1,5,1607.0805600871
"72",2004,1,"150145",1,5,1607.0805600871
"73",2004,1,"160015",1,5,1607.0805600871
"74",2004,1,"130270",1,5,1607.0805600871
"75",2004,1,"130230",1,5,1607.0805600871
"76",2004,1,"160005",1,5,1607.0805600871
"77",2004,1,"160050",1,5,1607.0805600871
"78",2004,1,"150600",1,5,1607.0805600871
"79",2004,1,"130406",1,5,1607.0805600871
"80",2004,1,"130330",1,5,1607.0805600871
"81",2004,1,"150619",1,5,1607.0805600871
"82",2004,1,"130390",1,5,1607.0805600871
"83",2004,1,"150805",1,5,1607.0805600871
"84",2004,1,"150565",1,5,1607.0805600871
"85",2004,1,"160020",1,5,1607.0805600871
"86",2004,1,"130170",1,5,1607.0805600871
"87",2004,1,"160040",1,5,1607.0805600871
"88",2004,1,"160053",1,5,1607.0805600871
"89",2004,1,"130090",1,5,1607.0805600871
"90",2004,1,"150360",1,5,1607.0805600871
"91",2004,1,"150815",1,5,1607.0805600871
"92",2004,1,"160055",1,5,1607.0805600871
"93",2004,1,"160023",1,5,1607.0805600871
"94",2004,1,"160080",1,5,1607.0805600871
"95",2004,1,"150590",1,5,1607.0805600871
"96",2004,1,"150445",1,5,1607.0805600871
"97",2004,1,"160060",1,5,1607.0805600871
"98",2004,1,"160070",1,5,1607.0805600871
"99",2004,1,"130195",1,5,1607.0805600871
"100",2004,1,"130014",1,5,1607.0805600871
"101",2004,1,"150310",1,5,1607.0805600871
"102",2004,1,"160010",1,5,1607.0805600871
"103",2004,1,"150172",1,5,1607.0805600871
"104",2004,1,"130060",1,5,1607.0805600871
"105",2004,1,"160030",1,5,1607.0805600871
"106",2004,1,"160025",1,5,1607.0805600871
"107",2004,1,"160021",1,5,1607.0805600871
"108",2004,1,"150375",1,5,1607.0805600871
"109",2004,1,"150030",1,5,1607.0805600871
"110",2004,1,"150835",1,5,1607.0805600871
"111",2004,1,"150450",1,5,1607.0805600871
"112",2004,1,"130240",1,5,1607.0805600871
"113",2004,1,"110080",1,5,1607.0805600871
"114",2004,1,"150180",1,5,1607.0805600871
"115",2004,1,"130350",1,5,1607.0805600871
"116",2004,1,"110094",1,5,1607.0805600871
"117",2004,1,"110110",1,5,1607.0805600871
"118",2004,1,"110013",1,5,1607.0805600871
"119",2004,1,"110020",1,5,1607.0805600871
"120",2004,1,"150580",1,5,1607.0805600871
"121",2004,1,"150250",1,5,1607.0805600871
"122",2004,1,"510325",1,5,1607.0805600871
"123",2004,1,"130020",1,5,1607.0805600871
"124",2004,1,"150780",1,5,1607.0805600871
"125",2004,1,"130140",1,5,1607.0805600871
"126",2004,1,"150070",1,5,1607.0805600871
"127",2004,1,"510080",1,5,1607.0805600871
"128",2004,1,"150060",1,5,1607.0805600871
"129",2004,1,"110026",1,5,1607.0805600871
"130",2004,1,"110040",1,5,1607.0805600871
"131",2004,1,"110175",1,5,1607.0805600871
"132",2004,1,"150280",1,5,1607.0805600871
"133",2004,1,"150085",1,5,1607.0805600871
"134",2004,1,"150503",1,5,1607.0805600871
"135",2004,1,"130150",1,5,1607.0805600871
"136",2004,1,"150110",1,5,1607.0805600871
"137",2004,1,"110002",1,5,1607.0805600871
"138",2004,1,"130070",1,5,1607.0805600871
"139",2004,1,"150770",1,5,1607.0805600871
"140",2004,1,"510337",1,5,1607.0805600871
"141",2004,1,"150640",1,5,1607.0805600871
"142",2004,1,"110160",1,5,1607.0805600871
"143",2004,1,"110045",1,5,1607.0805600871
"144",2004,1,"150520",1,5,1607.0805600871
"145",2004,1,"150548",1,5,1607.0805600871
"146",2004,1,"110140",1,5,1607.0805600871
"147",2004,1,"150490",1,5,1607.0805600871
"148",2004,1,"110060",1,5,1607.0805600871
"149",2004,1,"150400",1,5,1607.0805600871
"150",2004,1,"110180",1,5,1607.0805600871
"151",2004,1,"130180",1,5,1607.0805600871
"152",2004,1,"510140",1,5,1607.0805600871
"153",2004,1,"510615",1,5,1607.0805600871
"154",2004,1,"150570",1,5,1607.0805600871
"155",2004,1,"110012",1,5,1607.0805600871
