"","year","radius_avg","months_avg","num_clusters"
"1",2004,165.602166689474,4.89473684210526,8
"2",2005,47.1569535231462,3.53846153846154,10
"3",2006,58.521880546125,4.58333333333333,8
"4",2007,73.5010400191062,3.5625,9
"5",2008,78.8723257805921,2.44736842105263,12
"6",2009,967.410982132578,1.02822580645161,14
"7",2010,92.6733508443429,3.66666666666667,13
"8",2011,186.31137999312,3.32,9
"9",2012,92.57774225632,3.93333333333333,10
"10",2013,65.1375066022667,4.11111111111111,7
"11",2014,115.689138517584,3.16,8
"12",2015,282.782751538388,4.73469387755102,8
"13",2016,44.60932688688,4.6,4
"14",2017,168.4068155428,3.65,6
"15",2018,262.067876350041,2.22058823529412,8
"16",2019,208.443341076886,4.95454545454545,6
"17",2020,0,4.75,4
"18",2021,0,5,2
"19",2022,0,3.2,5
