"","year","radius_avg","months_avg","num_clusters"
"1",2004,138.156821710296,2.92452830188679,20
"2",2005,129.379367479952,2.25373134328358,20
"3",2006,156.871924688276,2.38823529411765,20
"4",2007,45.7783521778529,3.05882352941176,21
"5",2008,103.459222836276,2.2089552238806,24
"6",2009,84.205199155125,2.875,16
"7",2010,56.5511076761933,2.86666666666667,11
"8",2011,96.7042778846478,3.04347826086957,12
"9",2012,70.9979379168208,2.25,14
"10",2013,37.7835533400769,2.38461538461538,21
"11",2014,140.447143782618,2.53846153846154,15
"12",2015,73.5135745545167,2.5,9
"13",2016,66.4516188033867,1.6,7
"14",2017,26.5009826986737,2.26315789473684,16
"15",2018,56.5818726232176,2.58823529411765,12
"16",2019,93.2112062458619,2.95238095238095,10
"17",2020,0,3,5
"18",2021,0,4,3
"19",2022,0,4,1
