"","year","radius_avg","months_avg","num_clusters"
"1",2004,747.600902688178,4.98481012658228,8
"2",2005,742.616132049853,4.94236311239193,8
"3",2006,752.06720334617,4.97820163487738,6
"4",2007,607.618535345011,3.14016172506739,11
"5",2008,868.019918122558,2.37209302325581,7
"6",2009,1332.7141377039,4.79464285714286,4
"7",2010,956.749243942333,4.94636015325671,7
"8",2011,458.48630560102,4.06930693069307,8
"9",2012,776.285654226768,4.99487179487179,6
"10",2013,478.990475934686,4.33935018050542,6
"11",2014,506.425721053436,4.26877470355731,4
"12",2015,823.920408707065,4.84649122807018,6
"13",2016,700.508832455145,4.88,8
"14",2017,875.837448529403,4.91329479768786,7
"15",2018,945.073256099446,4.32773109243697,6
"16",2019,413.336683445499,4.96,6
"17",2020,392.84435470124,5,4
"18",2021,386.16755875863,4.58951965065502,6
"19",2022,377.322325430629,4.8423645320197,4
