"","year","radius_avg","months_avg","num_clusters"
"1",2004,502.706477124966,5,4
"2",2005,1187.00113110041,4.98787878787879,5
"3",2006,638.306265343205,3.7890625,4
"4",2007,824.025047454866,5,4
"5",2008,1101.90497631528,4.82608695652174,4
"6",2009,750.780322573312,4.41843971631206,4
"7",2010,1498.95824084287,5,3
"8",2011,1383.64700940668,4.88690476190476,3
"9",2012,1316.14611312616,5,2
"10",2013,847.893718681467,4.50149253731343,4
"11",2014,864.310672951204,4.04242424242424,3
"12",2015,1056.16416603457,4.78238341968912,3
"13",2016,1161.82228795146,5,3
"14",2017,1254.88061006697,5,3
"15",2018,1254.88061006697,5,3
"16",2019,571.135315731032,5,2
"17",2020,1487.53830902158,5,3
"18",2021,374.60433377041,4.89795918367347,5
"19",2022,869.780467869125,5,3
