"","year","radius_avg","months_avg","num_clusters"
"1",2004,1100.75128780174,4.8996138996139,9
"2",2005,929.654734298777,4.74397590361446,12
"3",2006,1034.28211417721,4.96853146853147,6
"4",2007,1289.65387086074,4.83505154639175,7
"5",2008,1409.4243035896,5,2
"6",2009,1003.71435835331,3.55524079320113,4
"7",2010,1080.37554276283,4.98380566801619,3
"8",2011,773.148800579931,5,3
"9",2012,1003.37715502534,5,2
"10",2013,1260.17551277219,4.4593023255814,3
"11",2014,1115.80352813027,4.94827586206897,5
"12",2015,1238.89673630026,4.94186046511628,5
"13",2016,1168.00803048163,4.93288590604027,4
"14",2017,1055.88168435218,4.04918032786885,5
"15",2018,1132.22037677145,4.95205479452055,3
"16",2019,1199.7571437391,4.66666666666667,3
"17",2020,1419.06789261143,4.99453551912568,3
"18",2021,1228.24946352604,4.85903083700441,6
"19",2022,617.215165798703,4.95238095238095,4
